f1_score,numTopFeatures,regParam,standardization,maxIter
0.607703,2000,0.01,True,10
0.603028,2000,0.01,True,50
0.602134,2000,0.1,True,10
0.593802,2000,0.1,True,50
0.570802,2000,1.0,True,10
0.552636,2000,1.0,True,50
0.499282,2000,0.1,False,50
0.497976,2000,0.01,False,50
0.381693,200,0.01,True,10
0.371858,200,0.1,True,10
0.370995,200,0.01,True,50
0.358250,200,0.1,True,50
0.356334,2000,0.01,False,10
0.337649,200,1.0,True,10
0.331689,200,0.01,False,50
0.330372,200,1.0,True,50
0.326014,200,0.1,False,50
0.325776,200,0.01,False,10
0.324418,200,1.0,False,50
0.269616,200,0.1,False,10
0.124058,2000,1.0,False,10
0.123982,2000,0.1,False,10
0.000772,200,1.0,False,10
0.000506,2000,1.0,False,50
